date,center,resource_code,resource_name,stock_qty,sales_qty,stock_available,pending_FC,stock_expected,stock_processing,stock_readytoship,snap_time
2025-09-21,AcrossBUS,BA00021,바쿠치올플럼핑세럼[30ml/-],"4,914",0,,,,,,
2025-09-21,AcrossBUS,BA00022,비타민일루미네이팅세럼[30ml/-],45,0,,,,,,
2025-09-21,AcrossBUS,BA00023,스위밍풀토너[300ml/-],"10,229",0,,,,,,
2025-09-21,AcrossBUS,BA00025,스위밍풀토너패드[220ml|70매/-],3,0,,,,,,
2025-09-21,AcrossBUS,BA00026,스위밍풀앰플[50ml/-],66,0,,,,,,
2025-09-21,AcrossBUS,BA00027,퍼플라이스포어팩클렌저[130g/-],"2,791",0,,,,,,
2025-09-21,AcrossBUS,BA00028,퍼플PDRN포어세럼[30ml/-],"5,608",0,,,,,,
2025-09-21,AcrossBUS,BA00029,퍼플라이스포어클렌징오일[200ml/-],"1,466",0,,,,,,
2025-09-21,AcrossBUS,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"12,289",0,,,,,,
2025-09-21,AcrossBUS,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"6,271",0,,,,,,
2025-09-21,AcrossBUS,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],"4,563",0,,,,,,
2025-09-21,AcrossBUS,BA10001,(AMZ)토너[300ml/-],24,0,,,,,,
2025-09-21,AcrossBUS,BA10019,(AMZ)데일리글로우클렌저[210ml/-],6,0,,,,,,
2025-09-21,AcrossBUS,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],3,0,,,,,,
2025-09-21,AcrossBUS,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],1,0,,,,,,
2025-09-21,SBSMY,BA00021,바쿠치올플럼핑세럼[30ml/-],"3,256",0,,,,,,
2025-09-21,SBSMY,BA00023,스위밍풀토너[300ml/-],"3,036",0,,,,,,
2025-09-21,SBSMY,BA00024,스위밍풀토너[155ml/-],"1,328",0,,,,,,
2025-09-21,SBSMY,BA00025,스위밍풀토너패드[220ml|70매/-],852,0,,,,,,
2025-09-21,SBSMY,BA00026,스위밍풀앰플[50ml/-],"1,490",0,,,,,,
2025-09-21,SBSMY,BA00028,퍼플PDRN포어세럼[30ml/-],357,0,,,,,,
2025-09-21,SBSMY,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],918,0,,,,,,
2025-09-21,SBSMY,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],958,0,,,,,,
2025-09-21,SBSMY,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],941,0,,,,,,
2025-09-21,SBSMY,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],948,0,,,,,,
2025-09-21,SBSMY,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],"4,737",0,,,,,,
2025-09-21,SBSMY,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],"4,771",0,,,,,,
2025-09-21,SBSMY,BA10019,(AMZ)데일리글로우클렌저[210ml/-],3,0,,,,,,
2025-09-21,SBSMY,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],"4,788",0,,,,,,
2025-09-21,SBSPH,BA00023,스위밍풀토너[300ml/-],"4,695",0,,,,,,
2025-09-21,SBSPH,BA00024,스위밍풀토너[155ml/-],"1,925",0,,,,,,
2025-09-21,SBSPH,BA00027,퍼플라이스포어팩클렌저[130g/-],390,0,,,,,,
2025-09-21,SBSPH,BA00028,퍼플PDRN포어세럼[30ml/-],3,0,,,,,,
2025-09-21,SBSPH,BA00029,퍼플라이스포어클렌징오일[200ml/-],711,0,,,,,,
2025-09-21,SBSPH,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"1,125",0,,,,,,
2025-09-21,SBSPH,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"1,256",0,,,,,,
2025-09-21,SBSPH,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],380,0,,,,,,
2025-09-21,SBSPH,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],421,0,,,,,,
2025-09-21,SBSPH,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],"9,922",0,,,,,,
2025-09-21,SBSPH,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],"9,758",0,,,,,,
2025-09-21,SBSPH,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],691,0,,,,,,
2025-09-21,SBSPH,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],"1,133",0,,,,,,
2025-09-21,SBSSG,BA00023,스위밍풀토너[300ml/-],"7,295",0,,,,,,
2025-09-21,SBSSG,BA00024,스위밍풀토너[155ml/-],"4,124",0,,,,,,
2025-09-21,SBSSG,BA00025,스위밍풀토너패드[220ml|70매/-],251,0,,,,,,
2025-09-21,SBSSG,BA00026,스위밍풀앰플[50ml/-],"1,617",0,,,,,,
2025-09-21,SBSSG,BA00027,퍼플라이스포어팩클렌저[130g/-],653,0,,,,,,
2025-09-21,SBSSG,BA00028,퍼플PDRN포어세럼[30ml/-],532,0,,,,,,
2025-09-21,SBSSG,BA00029,퍼플라이스포어클렌징오일[200ml/-],387,0,,,,,,
2025-09-21,SBSSG,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"1,476",0,,,,,,
2025-09-21,SBSSG,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],839,0,,,,,,
2025-09-21,SBSSG,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],420,0,,,,,,
2025-09-21,SBSSG,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],274,0,,,,,,
2025-09-21,SBSSG,BA00037,콜라겐 하이드로겔 마스크[1EA|30g/타이트업],"4,079",0,,,,,,
2025-09-21,SBSSG,BA00038,콜라겐 하이드로겔 마스크[1EA|30g/글로우업],"4,007",0,,,,,,
2025-09-21,SBSSG,BA00039,바쿠치올플럼핑캡슐크림[50ml/-],300,0,,,,,,
2025-09-21,SBSSG,BA10021,(AMZ)바쿠치올플럼핑세럼[30ml/-],"4,905",0,,,,,,
2025-09-21,SBSSG,BA10022,(AMZ)비타민일루미네이팅세럼[30ml/-],"1,289",0,,,,,,
2025-09-21,태광KR,BA00004,클렌저[200ml/-],7,0,,,,,,
2025-09-21,태광KR,BA00010,딥크림[70ml/-],2,0,,,,,,
2025-09-21,태광KR,BA00012-1,클렌징오일[200ml]_펌프,132,0,,,,,,
2025-09-21,태광KR,BA00019,데일리글로우클렌저[210ml/-],"1,233",0,,,,,,
2025-09-21,태광KR,BA00021,바쿠치올플럼핑세럼[30ml/-],"51,532",0,,,,,,
2025-09-21,태광KR,BA00022,비타민일루미네이팅세럼[30ml/-],"106,145",0,,,,,,
2025-09-21,태광KR,BA00023,스위밍풀토너[300ml/-],"70,535",0,,,,,,
2025-09-21,태광KR,BA00024,스위밍풀토너[155ml/-],"103,981",0,,,,,,
2025-09-21,태광KR,BA00025,스위밍풀토너패드[220ml|70매/-],"17,140",0,,,,,,
2025-09-21,태광KR,BA00026,스위밍풀앰플[50ml/-],"14,500",0,,,,,,
2025-09-21,태광KR,BA00027,퍼플라이스포어팩클렌저[130g/-],"20,250",0,,,,,,
2025-09-21,태광KR,BA00028,퍼플PDRN포어세럼[30ml/-],"16,180",0,,,,,,
2025-09-21,태광KR,BA00029,퍼플라이스포어클렌징오일[200ml/-],"17,667",0,,,,,,
2025-09-21,태광KR,BA00030,콜라겐 하이드로겔 마스크[4EA|30g/타이트업],"15,011",0,,,,,,
2025-09-21,태광KR,BA00031,콜라겐 하이드로겔 마스크[4EA|30g/글로우업],"9,357",0,,,,,,
2025-09-21,태광KR,BA00033,스위밍풀토너[샤쉐|2ml/-],"30,107",0,,,,,,
2025-09-21,태광KR,BA00033_SET,스위밍풀토너[2ml|100EA|샤쉐/-],114,0,,,,,,
2025-09-21,태광KR,BA00034,바쿠치올플럼핑세럼[샤쉐|2ml/-],"30,193",0,,,,,,
2025-09-21,태광KR,BA00034_SET,바쿠치올플럼핑세럼[2ml|100EA|샤쉐/-],57,0,,,,,,
2025-09-21,태광KR,BA00035,콜라겐 겔 토너 패드[60매|140ml/포어타이트업],"5,903",0,,,,,,
2025-09-21,태광KR,BA00036,콜라겐 겔 토너 패드[60매|140ml/글로우업],"6,996",0,,,,,,
