id,lot,cogs,stock,stock2,barcode,option1,option2,shop_id,category,brand_name,created_at,updated_at,input_stock,output_stock,reserve_stock,resource_code,resource_name,snapshot_date,available_stock,fba_input_stock,promotion_stock,boosters_item_id,fba_output_stock,output_stock_b2b,output_stock_toll,output_stock_sales,acrossb_input_stock,fba_available_stock,acrossb_output_stock,promotion_stock_info,poomgo_v2_input_stock,shopee_my_input_stock,shopee_ph_input_stock,shopee_sg_input_stock,delivery_waiting_stock,poomgo_v2_output_stock,shopee_my_output_stock,shopee_ph_output_stock,shopee_sg_output_stock,acrossb_available_stock,poomgo_v2_available_stock,shopee_my_available_stock,shopee_ph_available_stock,shopee_sg_available_stock
1746827,R0,4100,2,2,8809875456026,퍼플라이스 세럼,30ml/-,38,,이퀄베리,2025-03-23T06:41:15.000Z,2025-09-20T04:02:14.000Z,1,0,0,BA00028,이퀄베리-퍼플PDRN포어세럼[30ml/-],2025-09-19,0,0,0,1447,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2033453,R1,4100,9683,9683,8809875456026,퍼플라이스 세럼,30ml/-,38,,이퀄베리,2025-07-11T15:16:10.000Z,2025-10-31T04:54:52.000Z,3,6,0,BA00028,이퀄베리-퍼플PDRN포어세럼[30ml/-],2025-09-19,0,0,0,1681,18,0,0,3,0,2983,0,[],0,0,0,0,0,0,0,0,0,5609,0,0,0,0
1746809,R0,3905,3813,3813,8809875456033,클렌징오일,포어핏|200ml/-,38,,이퀄베리,2025-03-23T06:40:32.000Z,2025-10-31T04:42:30.000Z,0,157,0,BA00029,이퀄베리-퍼플라이스포어클렌징오일[200ml/-],2025-09-19,0,0,0,1398,0,0,0,154,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746828,R0,3987,590,590,8809875456033,퍼플라이스 클렌징오일,200ml/-,38,,이퀄베리,2025-03-23T06:41:18.000Z,2025-10-27T04:52:05.000Z,0,157,0,BA00029,이퀄베리-퍼플라이스포어클렌징오일[200ml/-],2025-09-19,0,0,0,1448,0,0,0,154,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100690,R1,3987,13578,13578,8809875456033,퍼플라이스 클렌징오일,200ml/-,38,,이퀄베리,2025-07-28T11:21:57.000Z,2025-10-31T04:56:52.000Z,0,0,0,BA00029,이퀄베리-퍼플라이스포어클렌징오일[200ml/-],2025-09-19,0,0,0,1724,3,0,0,0,0,2168,0,[],0,0,0,0,0,0,0,0,0,1466,0,0,0,0
2217035,R2,4012,0,0,8809875456033,퍼플라이스 클렌징오일,200ml/-,38,,이퀄베리,2025-09-04T14:19:14.000Z,2025-09-04T14:19:14.000Z,0,0,0,BA00029,이퀄베리-퍼플라이스포어클렌징오일[200ml/-],2025-09-19,0,0,0,1826,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746824,R0,3922,0,0,8809875456392,하이드로겔 마스크,4EA|30g/타이트업,38,,이퀄베리,2025-03-23T06:41:04.000Z,2025-09-18T04:06:47.000Z,0,0,0,BA00030,이퀄베리-콜라겐 하이드로겔 마스크[4EA|30g/타이트업],2025-09-19,0,0,0,1444,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1794805,R1,3922,200,200,8809875456392,하이드로겔 마스크,4EA|30g/타이트업,38,,이퀄베리,2025-04-15T19:13:04.000Z,2025-10-27T04:56:01.000Z,1,5,0,BA00030,이퀄베리-콜라겐 하이드로겔 마스크[4EA|30g/타이트업],2025-09-19,0,0,0,1529,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006417,R2,3922,14814,14814,8809875456392,하이드로겔 마스크,4EA|30g/타이트업,38,,이퀄베리,2025-07-01T14:24:56.000Z,2025-10-31T04:52:41.000Z,0,0,0,BA00030,이퀄베리-콜라겐 하이드로겔 마스크[4EA|30g/타이트업],2025-09-19,0,0,0,1638,13,0,0,0,0,8061,2,[],0,0,0,0,0,0,0,0,0,12292,0,0,0,0
1746825,R0,3919,1,1,8809875456439,하이드로겔 마스크,4EA|30g/글로우업,38,,이퀄베리,2025-03-23T06:41:08.000Z,2025-10-25T04:38:58.000Z,0,0,0,BA00031,이퀄베리-콜라겐 하이드로겔 마스크[4EA|30g/글로우업],2025-09-19,0,0,0,1445,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1794987,R1,3919,9360,9360,8809875456439,하이드로겔 마스크,4EA|30g/글로우업,38,,이퀄베리,2025-04-15T19:13:06.000Z,2025-10-27T04:56:07.000Z,0,5,0,BA00031,이퀄베리-콜라겐 하이드로겔 마스크[4EA|30g/글로우업],2025-09-19,0,0,0,1530,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,6271,0,0,0,0
2287593,R2,3919,0,0,8809875456439,하이드로겔 마스크,4EA|30g/글로우업,38,,이퀄베리,2025-10-02T04:26:18.000Z,2025-10-31T05:03:37.000Z,0,0,0,BA00031,이퀄베리-콜라겐 하이드로겔 마스크[4EA|30g/글로우업],2025-09-19,0,0,0,1866,40,0,0,0,0,12195,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746846,R0,102,0,0,8809875456378,토너,샤쉐|2ml/-,38,,이퀄베리,2025-03-23T06:41:43.000Z,2025-07-22T13:49:16.000Z,0,0,0,BA00033,이퀄베리-스위밍풀토너[샤쉐|2ml/-],2025-09-19,0,0,0,1474,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1828517,R1,102,30090,30090,8809875456378,토너,샤쉐|2ml/-,38,,이퀄베리,2025-05-14T18:13:36.000Z,2025-10-27T04:57:40.000Z,19,2,0,BA00033,이퀄베리-스위밍풀토너[샤쉐|2ml/-],2025-09-19,0,0,0,1561,0,0,0,2,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
2244338,R2,102,0,0,8809875456378,토너,샤쉐|2ml/-,38,,이퀄베리,2025-09-17T17:17:32.000Z,2025-09-17T17:17:32.000Z,0,0,0,BA00033,이퀄베리-스위밍풀토너[샤쉐|2ml/-],2025-09-19,0,0,0,1849,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
1746862,R0,20542,0,0,8809875457320,토너,2ml|100EA|샤쉐/-,38,,이퀄베리,2025-03-23T06:42:01.000Z,2025-08-24T04:14:55.000Z,0,0,0,BA00033_SET,이퀄베리-스위밍풀토너[2ml|100EA|샤쉐/-],2025-09-19,0,0,0,1492,0,0,0,0,0,0,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0
